,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,41,4,2,2,0,4522.0,0,0,0,28,1,55,1,-1,0,3,0
1,42,1,1,0,1,398.0,1,0,2,16,8,251,4,-1,0,3,0
2,26,8,2,1,0,706.0,0,0,2,8,10,118,1,105,2,1,0
3,54,4,1,2,0,0.0,0,1,0,19,9,307,3,-1,0,3,0
4,43,6,1,1,0,918.0,1,0,2,6,8,193,1,-1,0,3,0
5,34,9,2,1,0,52.0,0,0,0,19,1,90,4,-1,0,3,0
6,40,4,1,2,0,143.0,0,0,0,13,1,832,6,-1,0,3,0
7,41,1,0,1,0,1364.645545435511,1,0,0,31,5,228,4,-1,0,3,0
8,45,1,1,0,0,1794.0,1,0,2,14,8,174,2,-1,0,3,0
9,51,4,2,1,0,1364.645545435511,1,0,2,16,6,1248,2,-1,0,3,1
11,32,1,1,1,0,897.0,1,0,0,7,0,293,3,322,2,0,0
12,60,5,1,0,0,0.0,0,0,2,18,6,104,1,-1,0,3,0
13,47,1,1,1,0,273.0,1,0,2,4,6,163,1,-1,0,3,0
14,43,4,1,2,0,1253.0,0,1,0,18,1,52,3,-1,0,3,0
15,32,1,1,0,0,1156.0,1,0,2,26,8,185,5,-1,0,3,0
16,46,3,1,2,0,184.0,0,0,0,3,6,167,2,-1,0,3,0
17,31,4,2,2,0,0.0,0,0,0,28,1,35,31,-1,0,3,0
18,53,4,1,2,0,0.0,1,1,0,21,9,266,6,-1,0,3,0
19,27,7,2,1,0,777.0,1,0,2,9,8,131,3,-1,0,3,0
20,29,1,2,1,0,2553.0,1,0,0,16,0,250,1,-1,0,3,0
21,35,1,1,0,0,0.0,0,0,0,31,5,57,4,-1,0,3,0
22,32,9,1,2,0,514.0,1,0,2,20,8,414,2,-1,0,3,0
23,36,7,1,1,0,1053.0,1,0,1,30,4,99,1,259,1,0,0
24,40,10,1,1,0,3640.0,0,0,1,5,3,295,6,-1,0,3,0
25,29,7,2,2,0,1788.0,0,0,0,4,3,303,1,100,1,2,0
27,36,6,1,2,0,16430.0,1,0,0,19,9,234,1,166,3,0,0
28,32,7,1,1,0,-632.0,1,1,0,20,0,18,5,-1,0,3,0
29,25,1,2,1,0,1364.645545435511,0,0,0,18,6,252,1,92,1,2,1
30,53,7,1,1,0,1563.0,1,0,0,2,3,124,2,5,1,1,0
31,37,7,1,1,0,184.0,1,0,0,20,0,53,1,348,3,0,0
32,29,6,1,2,0,1.0,0,0,0,18,5,167,3,-1,0,3,0
33,50,1,1,0,0,84.0,1,0,2,29,8,179,1,-1,0,3,0
