,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
0,26,6,2,2,0,-101.0,0,1,0,29,4,172,1,-1,0,3
1,47,9,1,1,0,1167.0,1,0,0,2,3,139,3,73,2,2
2,35,6,1,2,0,2427.0,0,0,0,12,5,210,3,158,7,1
3,54,9,0,1,0,1381.6510878323932,0,0,0,30,4,86,1,-1,0,3
4,27,1,2,1,0,-208.0,1,0,2,21,8,127,2,-1,0,3
5,40,7,2,1,0,573.0,1,0,0,14,8,329,1,-1,0,3
6,41,1,0,0,0,0.0,0,0,2,20,6,62,2,-1,0,3
7,48,4,1,2,0,0.0,0,1,0,6,3,1423,3,-1,0,3
8,48,7,1,1,0,1381.6510878323932,0,0,1,23,5,173,4,-1,0,3
9,33,4,0,2,0,312.0,1,1,0,13,8,23,1,359,3,0
10,26,10,2,1,0,622.0,0,0,0,28,4,1451,2,-1,0,3
11,37,0,1,1,0,6127.0,1,0,0,17,0,1038,2,-1,0,3
12,61,10,1,0,0,1.0,0,0,0,25,11,85,1,-1,0,3
13,45,4,1,1,0,5888.0,1,0,2,26,8,45,5,-1,0,3
14,32,1,1,1,0,501.0,1,1,0,30,8,43,5,-1,0,3
15,46,2,1,2,0,193.0,1,0,0,7,8,201,8,-1,0,3
16,32,0,2,1,0,8626.0,0,0,0,7,2,200,1,196,2,0
17,43,1,1,2,0,58.0,1,0,0,9,3,48,4,-1,0,3
18,37,1,2,1,0,2580.0,1,0,0,18,5,300,3,-1,0,3
19,31,1,2,0,0,5058.0,1,0,2,20,8,157,2,-1,0,3
20,34,4,1,2,0,2599.0,0,0,0,16,9,95,1,200,2,2
21,31,9,2,2,0,1463.0,0,0,0,11,1,97,2,-1,0,3
22,53,1,1,1,0,3815.0,0,0,2,24,6,237,3,-1,0,3
23,41,4,1,2,0,144.0,1,0,2,6,8,164,2,-1,0,3
24,32,4,2,1,0,67.0,0,0,0,11,1,55,2,-1,0,3
25,33,7,1,1,0,386.0,0,0,0,12,8,317,1,181,5,2
26,38,1,1,1,0,814.0,1,0,0,4,3,306,1,-1,0,3
27,60,9,1,1,0,0.0,0,0,0,25,8,641,4,-1,0,3
28,35,0,2,2,0,62.0,0,1,0,30,0,67,2,-1,0,3
29,33,8,2,2,0,4.0,1,0,0,18,9,203,2,-1,0,3
30,34,0,1,1,0,1381.6510878323932,1,0,2,26,8,165,2,-1,0,3
31,50,9,1,1,0,2497.0,1,0,0,21,9,35,1,176,1,0
32,31,10,1,1,0,314.0,1,0,2,26,8,149,7,-1,0,3
33,45,4,1,0,0,4629.0,0,0,1,2,0,285,2,-1,0,3
34,59,5,1,3,0,613.0,0,0,0,19,1,75,2,-1,0,3
35,35,6,2,1,0,250.0,0,0,2,20,6,170,1,-1,0,3
36,39,4,0,2,0,115.0,0,0,0,29,1,345,2,-1,0,3
37,47,1,1,0,0,2749.0,1,0,0,30,0,774,2,164,1,0
38,19,8,2,1,0,329.0,0,0,0,22,10,252,2,-1,0,3
39,34,4,1,2,0,158.0,0,0,0,9,6,190,1,92,9,2
40,39,9,1,2,0,14.0,0,0,0,28,4,114,2,-1,0,3
41,30,4,1,2,0,101.0,1,0,0,17,5,88,1,-1,0,3
42,49,0,1,1,0,1120.0,1,0,1,11,8,226,2,-1,0,3
43,33,4,1,2,0,3713.0,1,0,0,20,9,175,1,-1,0,3
44,39,9,0,2,0,665.0,1,0,0,8,8,133,8,-1,0,3
45,60,5,1,2,0,45.0,0,0,0,28,1,39,5,-1,0,3
46,40,9,1,1,0,500.0,1,0,0,17,5,175,3,-1,0,3
47,56,5,1,1,0,393.0,0,1,0,17,2,103,1,206,1,0
48,51,1,1,0,0,296.0,1,0,0,4,8,211,5,-1,0,3
49,59,5,1,0,0,0.0,1,0,0,29,5,45,7,-1,0,3
50,44,9,0,1,0,1196.0,1,0,2,27,8,202,1,-1,0,3
51,43,4,0,2,0,221.0,1,0,0,11,8,313,1,369,2,0
52,54,4,1,2,1,-248.0,1,1,2,7,8,112,1,-1,0,3
53,50,4,1,2,0,2881.0,0,0,0,5,1,510,2,2,5,1
54,28,1,1,0,0,459.0,1,1,2,3,6,178,1,-1,0,3
55,26,1,0,1,0,0.0,1,0,2,19,8,48,3,-1,0,3
56,45,0,1,1,0,0.0,1,0,0,8,5,376,1,-1,0,3
57,44,9,1,1,0,584.0,0,0,0,30,6,78,1,-1,0,3
58,27,0,1,2,0,1381.6510878323932,0,0,0,11,10,212,1,-1,0,3
59,25,4,2,2,0,1.0,1,0,0,13,8,9,5,-1,0,3
60,46,1,1,0,0,648.0,0,0,0,14,1,59,4,-1,0,3
61,38,9,1,2,0,202.0,0,0,0,5,1,1311,2,-1,0,3
62,36,7,1,2,0,0.0,1,0,0,8,8,52,1,-1,0,3
63,31,1,1,2,0,433.0,0,1,0,3,3,114,1,-1,0,3
64,40,7,1,1,0,-80.0,1,0,2,2,6,147,2,-1,0,3
65,53,1,1,2,0,6525.0,1,0,2,2,6,73,3,-1,0,3
66,26,1,2,1,0,191.0,1,0,0,6,8,550,1,-1,0,3
67,45,1,1,0,1,-443.0,1,1,0,20,0,691,1,-1,0,3
68,52,9,1,1,0,2095.0,1,1,0,19,1,419,4,-1,0,3
69,60,4,1,2,0,70.0,0,0,0,21,1,36,1,-1,0,3
70,54,4,0,2,0,427.0,1,1,0,4,3,85,2,231,2,1
71,40,0,1,1,0,0.0,1,1,0,9,5,145,1,-1,0,3
72,65,5,0,1,0,828.0,0,0,0,13,5,305,1,-1,0,3
73,29,6,2,2,0,805.0,0,0,0,1,5,302,2,128,8,2
74,43,4,1,2,0,2759.0,1,1,0,8,1,329,2,-1,0,3
75,78,5,0,0,0,527.0,0,0,0,16,11,193,1,-1,0,3
76,39,4,1,2,0,119.0,1,0,0,1,11,265,2,476,4,2
77,41,0,2,1,0,-256.0,0,1,2,9,8,35,3,-1,0,3
78,33,9,1,1,0,844.0,1,0,0,23,5,476,3,-1,0,3
79,49,4,1,2,0,1468.0,1,0,0,28,5,88,3,-1,0,3
80,34,1,0,1,0,354.0,1,0,2,9,8,308,1,-1,0,3
81,45,3,0,0,0,221.0,0,0,0,2,3,93,1,235,1,0
82,43,10,2,2,0,983.0,1,0,0,26,3,97,1,-1,0,3
83,29,6,2,1,0,970.0,1,0,0,13,8,240,1,-1,0,3
84,29,7,2,1,0,192.0,0,0,0,30,4,327,4,-1,0,3
85,44,1,1,1,0,1127.0,0,0,0,16,6,399,1,-1,0,3
86,50,1,1,1,0,825.0,1,0,0,16,0,18,3,273,1,0
87,58,7,0,1,0,739.0,1,0,0,20,0,304,7,335,5,0
88,42,1,1,0,0,969.0,1,0,0,13,8,721,1,-1,0,3
89,34,1,1,3,0,0.0,1,0,0,7,8,183,1,-1,0,3
90,36,0,2,1,0,206.0,1,0,2,8,8,183,1,-1,0,3
91,37,1,1,1,0,298.0,1,0,0,31,5,10,6,-1,0,3
92,36,6,1,0,0,1094.0,1,0,0,8,0,291,2,335,1,0
93,59,3,1,0,0,1071.0,0,0,2,19,6,140,1,-1,0,3
94,46,7,1,1,0,111.0,0,0,0,13,1,78,2,-1,0,3
95,56,1,1,1,0,1381.6510878323932,1,0,0,14,1,265,2,-1,0,3
96,53,10,1,2,0,240.0,0,0,0,29,1,106,3,-1,0,3
97,37,9,1,1,0,1381.6510878323932,1,0,0,18,9,291,2,-1,0,3
98,29,9,2,2,0,828.0,1,0,0,16,0,215,3,321,3,1
