age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
41.0,management,single,tertiary,0,4522.0,0,0,cellular,28,aug,55,1.0,0,0,unknown,0
42.0,blue-collar,married,primary,1,398.0,1,0,unknown,16,may,251,4.0,0,0,unknown,0
26.0,student,single,secondary,0,706.0,0,0,unknown,8,oct,118,1.0,1,0,other,0
54.0,management,married,tertiary,0,0.0,0,1,cellular,19,nov,307,3.0,0,0,unknown,0
43.0,self-employed,married,secondary,0,918.0,1,0,unknown,6,may,193,1.0,0,0,unknown,0
34.0,technician,single,secondary,0,52.0,0,0,cellular,19,aug,90,4.0,0,0,unknown,0
40.0,management,married,tertiary,0,143.0,0,0,cellular,13,aug,832,6.0,0,0,unknown,0
41.0,blue-collar,divorced,secondary,0,,1,0,cellular,31,jul,228,4.0,0,0,unknown,0
45.0,blue-collar,married,primary,0,1794.0,1,0,unknown,14,may,174,2.0,0,0,unknown,0
51.0,management,single,secondary,0,,1,0,unknown,16,jun,1248,,0,0,unknown,1
21.0,administrator,single,secondary,0,325.0,1,0,,16,may,467,1.0,0,0,unknown,0
32.0,blue-collar,married,secondary,0,897.0,1,0,cellular,7,apr,293,3.0,1,0,failure,0
60.0,retired,married,primary,0,0.0,0,0,unknown,18,jun,104,1.0,0,0,unknown,0
47.0,blue-collar,married,secondary,0,273.0,1,0,unknown,4,jun,163,1.0,0,0,unknown,0
43.0,management,married,tertiary,0,1253.0,0,1,cellular,18,aug,52,3.0,0,0,unknown,0
32.0,blue-collar,married,primary,0,1156.0,1,0,unknown,26,may,185,5.0,0,0,unknown,0
46.0,housemaid,married,tertiary,0,184.0,0,0,cellular,3,jun,167,,0,0,unknown,0
53.0,management,married,tertiary,0,0.0,1,1,cellular,21,nov,266,6.0,0,0,unknown,0
27.0,services,single,secondary,0,777.0,1,0,unknown,9,may,131,3.0,0,0,unknown,0
29.0,blue-collar,single,secondary,0,2553.0,1,0,cellular,16,apr,250,1.0,0,0,unknown,0
35.0,blue-collar,married,primary,0,0.0,0,0,cellular,31,jul,57,4.0,0,0,unknown,0
32.0,technician,married,tertiary,0,514.0,1,0,unknown,20,may,414,2.0,0,0,unknown,0
36.0,services,married,secondary,0,1053.0,1,0,telephone,30,jan,99,1.0,1,0,failure,0
,unemployed,married,secondary,0,3640.0,0,0,telephone,5,feb,295,6.0,0,0,unknown,0
29.0,services,single,tertiary,0,1788.0,0,0,cellular,4,feb,303,1.0,1,0,success,0
43.0,,divorced,secondary,0,777.0,1,0,unknown,2,jun,130,,0,1,unknown,0
36.0,self-employed,married,tertiary,0,16430.0,1,0,cellular,19,nov,234,1.0,1,0,failure,0
32.0,services,married,secondary,0,-632.0,1,1,cellular,20,apr,18,5.0,0,0,unknown,0
25.0,blue-collar,single,secondary,0,,0,0,cellular,18,jun,252,1.0,1,0,success,1
53.0,services,married,secondary,0,1563.0,1,0,cellular,2,feb,124,2.0,0,0,other,0
37.0,services,married,secondary,0,184.0,1,0,cellular,20,apr,53,1.0,1,0,failure,0
29.0,self-employed,married,tertiary,0,1.0,0,0,cellular,18,jul,167,3.0,0,0,unknown,0
50.0,blue-collar,married,primary,0,84.0,1,0,unknown,29,may,179,1.0,0,0,unknown,0
57.0,technician,married,unknown,0,1617.0,1,0,unknown,7,may,96,2.0,0,0,unknown,0
30.0,management,single,tertiary,0,0.0,1,0,cellular,2,apr,293,2.0,1,0,failure,0
37.0,blue-collar,married,secondary,0,-100.0,1,0,cellular,18,may,108,2.0,1,0,failure,0
46.0,services,married,secondary,0,53.0,0,1,cellular,28,jul,31,3.0,0,0,unknown,0
58.0,administrator,married,secondary,0,145.0,1,0,telephone,29,jul,616,13.0,0,0,unknown,1
33.0,technician,married,secondary,0,884.0,1,0,unknown,23,may,271,1.0,0,0,unknown,0
25.0,,single,tertiary,0,1734.0,0,0,cellular,19,oct,366,1.0,0,0,unknown,0
41.0,blue-collar,,secondary,0,1165.0,0,0,unknown,12,jun,69,3.0,0,0,unknown,0
44.0,blue-collar,married,primary,0,753.0,1,0,unknown,8,may,151,2.0,0,0,unknown,0
50.0,admin.,married,secondary,0,736.0,1,0,unknown,14,may,74,1.0,0,0,unknown,0
32.0,management,married,tertiary,0,958.0,1,0,telephone,17,jul,151,1.0,0,0,unknown,0
29.0,services,single,primary,0,95.0,1,0,unknown,13,may,266,2.0,0,0,unknown,0
37.0,admin.,married,secondary,0,14.0,1,0,unknown,8,may,176,2.0,0,0,unknown,0
48.0,services,married,secondary,0,2850.0,1,0,cellular,6,aug,107,3.0,0,0,unknown,0
50.0,unemployed,divorced,unknown,0,1088.0,0,0,cellular,2,feb,749,1.0,0,0,unknown,1
41.0,management,married,tertiary,0,6060.0,1,0,unknown,15,may,71,,0,0,unknown,0
35.0,management,married,tertiary,0,2123.0,1,0,cellular,20,apr,54,1.0,1,0,failure,0
55.0,retired,married,primary,0,-90.0,1,1,,7,may,634,2.0,0,0,unknown,0
61.0,retired,married,secondary,0,399.0,0,0,cellular,26,aug,81,1.0,0,0,unknown,0
54.0,management,married,tertiary,0,6525.0,1,0,cellular,17,apr,231,1.0,1,0,failure,0
28.0,blue-collar,married,secondary,0,-95.0,1,0,unknown,13,may,200,1.0,0,0,unknown,0
50.0,technician,married,secondary,0,3176.0,0,0,cellular,7,aug,670,1.0,0,0,unknown,1
30.0,administrator,married,secondary,0,1589.0,1,0,cellular,18,nov,51,,0,0,unknown,0
60.0,self-employed,married,tertiary,0,10861.0,0,0,cellular,9,nov,98,1.0,1,0,failure,1
33.0,management,married,tertiary,0,540.0,0,0,cellular,11,aug,79,4.0,0,0,unknown,0
,admin.,divorced,secondary,0,540.0,1,0,cellular,30,jan,74,1.0,0,0,unknown,0
45.0,management,single,tertiary,0,2067.0,1,0,cellular,13,aug,393,2.0,1,0,success,1
26.0,management,single,tertiary,0,45.0,0,0,cellular,10,jul,1187,3.0,0,0,unknown,1
,blue-collar,single,secondary,0,82.0,1,0,cellular,28,jul,86,4.0,0,0,unknown,0
35.0,,divorced,secondary,0,356.0,1,0,unknown,29,may,76,,0,0,unknown,0
34.0,services,married,secondary,0,703.0,0,0,cellular,17,apr,282,2.0,1,0,failure,0
50.0,blue-collar,married,primary,0,2610.0,1,1,unknown,20,may,181,6.0,0,0,unknown,0
42.0,technician,single,secondary,0,146.0,0,0,cellular,8,aug,229,2.0,0,0,unknown,0
36.0,services,divorced,secondary,0,54.0,1,0,cellular,20,nov,355,6.0,0,0,unknown,0
60.0,,married,primary,0,17413.0,0,0,unknown,9,jun,200,1.0,0,0,unknown,0
25.0,admin.,single,secondary,0,131.0,1,1,unknown,9,may,237,1.0,0,0,unknown,0
39.0,blue-collar,married,primary,0,1564.0,0,0,unknown,17,jun,57,1.0,0,0,unknown,0
32.0,technician,married,secondary,0,-95.0,1,0,cellular,29,jul,935,4.0,0,0,unknown,0
50.0,,married,secondary,0,-731.0,1,0,cellular,15,jul,401,4.0,0,0,unknown,0
,blue-collar,divorced,primary,0,-191.0,1,0,unknown,15,may,755,1.0,0,0,unknown,1
34.0,,married,secondary,0,3990.0,1,0,cellular,24,jul,633,7.0,0,0,unknown,0
34.0,blue-collar,married,primary,0,3527.0,1,0,cellular,21,nov,1022,1.0,0,0,unknown,1
51.0,management,divorced,tertiary,0,492.0,0,1,cellular,29,jul,54,7.0,0,0,unknown,0
37.0,management,married,tertiary,1,0.0,0,0,cellular,17,nov,44,1.0,1,0,failure,0
63.0,retired,married,secondary,0,1486.0,0,0,cellular,14,may,698,5.0,1,0,other,0
59.0,retired,married,primary,0,0.0,0,0,unknown,16,jun,39,1.0,0,0,unknown,0
36.0,technician,divorced,secondary,0,861.0,0,0,telephone,29,aug,140,2.0,0,0,unknown,0
38.0,technician,single,secondary,0,145.0,1,0,unknown,27,may,109,2.0,0,0,unknown,0
34.0,student,single,unknown,0,242.0,0,0,telephone,4,mar,364,2.0,1,0,failure,0
36.0,,married,tertiary,0,1584.0,1,0,cellular,18,jul,178,1.0,0,0,unknown,0
70.0,retired,married,primary,0,2346.0,0,0,cellular,1,jun,421,1.0,1,0,success,0
51.0,,married,primary,0,176.0,0,1,cellular,26,aug,80,2.0,0,0,unknown,0
44.0,management,married,secondary,0,3286.0,1,0,cellular,18,jul,569,1.0,0,0,unknown,0
53.0,unknown,married,unknown,0,13.0,0,0,telephone,28,jan,69,1.0,0,0,unknown,0
56.0,retired,divorced,primary,0,0.0,0,0,unknown,5,jun,27,1.0,0,0,unknown,0
