age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
26.0,self-employed,single,tertiary,0,-101.0,0,1,cellular,29,jan,172,1.0,0,0,unknown
47.0,technician,married,secondary,0,1167.0,1,0,cellular,2,feb,139,3.0,1,0,success
35.0,self-employed,married,tertiary,0,2427.0,0,0,cellular,12,jul,210,3.0,1,0,other
54.0,technician,divorced,secondary,0,,0,0,cellular,30,jan,86,1.0,0,0,unknown
27.0,blue-collar,single,secondary,0,-208.0,1,0,unknown,21,may,127,2.0,0,0,unknown
40.0,services,single,secondary,0,573.0,1,0,cellular,14,may,329,1.0,0,0,unknown
,blue-collar,divorced,primary,0,0.0,0,0,unknown,20,jun,62,2.0,0,0,unknown
48.0,management,married,tertiary,0,0.0,0,1,cellular,6,feb,1423,3.0,0,0,unknown
48.0,services,married,secondary,0,,0,0,telephone,23,jul,173,4.0,0,0,unknown
33.0,management,divorced,tertiary,0,312.0,1,1,cellular,13,may,23,1.0,1,0,failure
26.0,unemployed,single,secondary,0,622.0,0,0,cellular,28,jan,1451,2.0,0,0,unknown
37.0,admin.,married,secondary,0,6127.0,1,0,cellular,17,apr,1038,2.0,0,0,unknown
61.0,unemployed,married,primary,0,1.0,0,0,cellular,25,sep,85,1.0,0,0,unknown
45.0,management,married,secondary,0,5888.0,1,0,unknown,26,may,45,5.0,0,0,unknown
32.0,blue-collar,married,secondary,0,501.0,1,1,,30,may,43,5.0,0,0,unknown
46.0,entrepreneur,married,tertiary,0,193.0,1,0,cellular,7,may,201,8.0,0,0,unknown
32.0,admin.,single,secondary,0,8626.0,0,0,cellular,7,dec,200,1.0,1,0,failure
43.0,,married,tertiary,0,58.0,1,0,cellular,9,feb,48,4.0,0,0,unknown
37.0,blue-collar,single,secondary,0,2580.0,1,0,cellular,18,jul,300,3.0,0,0,unknown
31.0,blue-collar,single,primary,0,5058.0,1,0,unknown,20,may,157,,0,0,unknown
34.0,management,married,tertiary,0,2599.0,0,0,cellular,16,nov,95,1.0,1,0,success
31.0,technician,single,tertiary,0,1463.0,0,0,cellular,11,aug,97,2.0,0,0,unknown
53.0,blue-collar,married,secondary,0,3815.0,0,0,unknown,24,jun,237,3.0,0,0,unknown
,management,married,tertiary,0,144.0,1,0,unknown,6,may,164,,0,0,unknown
32.0,management,single,secondary,0,67.0,0,0,cellular,11,aug,55,2.0,0,0,unknown
33.0,services,married,secondary,0,386.0,0,0,cellular,12,may,317,1.0,1,0,success
38.0,blue-collar,married,secondary,0,814.0,1,0,cellular,4,feb,306,1.0,0,0,unknown
60.0,technician,,secondary,0,0.0,0,0,cellular,25,may,641,4.0,0,0,unknown
35.0,admin.,single,tertiary,0,62.0,0,1,cellular,30,apr,67,,0,0,unknown
33.0,student,single,tertiary,0,4.0,1,0,cellular,18,nov,203,2.0,0,0,unknown
34.0,administrator,married,secondary,0,,1,0,unknown,26,may,165,2.0,0,0,unknown
50.0,technician,married,secondary,0,2497.0,1,0,cellular,21,nov,35,1.0,1,0,failure
31.0,unemployed,married,secondary,0,314.0,1,0,unknown,26,may,149,7.0,0,0,unknown
45.0,management,married,primary,0,4629.0,0,0,telephone,2,apr,285,2.0,0,0,unknown
59.0,retired,,unknown,0,613.0,0,0,cellular,19,aug,75,2.0,0,0,unknown
35.0,self-employed,single,secondary,0,250.0,0,0,unknown,20,jun,170,1.0,0,0,unknown
39.0,management,divorced,tertiary,0,115.0,0,0,cellular,29,aug,345,2.0,0,0,unknown
47.0,blue-collar,married,primary,0,2749.0,1,0,cellular,30,apr,774,2.0,1,0,failure
19.0,student,single,secondary,0,329.0,0,0,cellular,22,oct,252,2.0,0,0,unknown
34.0,management,married,tertiary,0,158.0,0,0,cellular,9,jun,190,1.0,1,1,success
39.0,technician,married,tertiary,0,14.0,0,0,cellular,28,jan,114,2.0,0,0,unknown
30.0,management,married,tertiary,0,101.0,1,0,cellular,17,jul,88,1.0,0,0,unknown
49.0,admin.,married,secondary,0,1120.0,1,0,telephone,11,may,226,2.0,0,0,unknown
33.0,management,married,tertiary,0,3713.0,1,0,cellular,20,nov,175,1.0,0,0,unknown
39.0,technician,divorced,tertiary,0,665.0,1,0,cellular,8,may,133,8.0,0,0,unknown
60.0,retired,married,tertiary,0,45.0,0,0,cellular,28,aug,39,5.0,0,0,unknown
40.0,technician,married,secondary,0,500.0,1,0,cellular,17,jul,175,3.0,0,0,unknown
