,age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,y
0,41.0,management,single,tertiary,no,4522.0,no,no,cellular,8,55,1.0,-1,0.0,unknown,no
1,42.0,blue-collar,married,primary,yes,398.0,yes,n,unknown,5,251,4.0,-1,0.0,unknown,no
2,26.0,student,single,secondary,no,706.0,no,no,unknown,10,118,1.0,105,2.0,other,no
3,54.0,management,married,tertiary,no,0.0,no,y,cellular,11,307,3.0,-1,0.0,unknown,no
4,43.0,self-employed,married,secondary,no,918.0,yes,no,unknown,5,193,1.0,-1,0.0,unknown,no
5,34.0,technician,single,secondary,no,52.0,no,no,cellular,8,90,4.0,-1,0.0,unknown,no
6,40.0,management,married,tertiary,no,143.0,no,n,cellular,8,832,6.0,-1,0.0,unknown,no
7,41.0,blue-collar,divorced,secondary,no,0.0,yes,n,cellular,7,228,4.0,-1,0.0,unknown,no
8,45.0,blue-collar,married,primary,no,1794.0,yes,no,unknown,5,174,2.0,-1,0.0,unknown,no
9,51.0,management,single,secondary,no,0.0,yes,n,unknown,6,1248,1.0,-1,0.0,unknown,yes
10,21.0,administrator,single,secondary,no,325.0,yes,n,unknown,5,467,1.0,-1,0.0,unknown,no
11,32.0,blue-collar,married,secondary,no,897.0,yes,no,cellular,4,293,3.0,322,2.0,failure,no
12,60.0,retired,married,primary,no,0.0,no,no,unknown,6,104,1.0,-1,0.0,unknown,no
13,47.0,blue-collar,married,secondary,no,273.0,yes,n,unknown,6,163,1.0,-1,0.0,unknown,no
14,43.0,management,married,tertiary,no,1253.0,no,y,cellular,8,52,3.0,-1,0.0,unknown,no
15,32.0,blue-collar,married,primary,no,1156.0,yes,n,unknown,5,185,5.0,-1,0.0,unknown,no
16,46.0,housemaid,married,tertiary,no,184.0,no,n,cellular,6,167,1.0,-1,0.0,unknown,no
17,31.0,management,single,tertiary,no,0.0,no,n,cellular,8,35,20.0,-1,0.0,unknown,no
18,53.0,management,married,tertiary,no,0.0,yes,yes,cellular,11,266,6.0,-1,0.0,unknown,no
19,27.0,services,single,secondary,no,777.0,yes,n,unknown,5,131,3.0,-1,0.0,unknown,no
20,29.0,blue-collar,single,secondary,no,2553.0,yes,no,cellular,4,250,1.0,-1,0.0,unknown,no
21,35.0,blue-collar,married,primary,no,0.0,no,n,cellular,7,57,4.0,-1,0.0,unknown,no
22,32.0,technician,married,tertiary,no,514.0,yes,n,unknown,5,414,2.0,-1,0.0,unknown,no
23,36.0,services,married,secondary,no,1053.0,yes,no,telephone,1,99,1.0,259,1.0,failure,no
24,32.0,unemployed,married,secondary,no,3640.0,no,no,telephone,2,295,6.0,-1,0.0,unknown,no
25,29.0,services,single,tertiary,no,1788.0,no,no,cellular,2,303,1.0,100,1.0,success,no
26,43.0,administrator,divorced,secondary,no,777.0,yes,n,unknown,6,130,1.0,-1,0.0,unknown,no
27,36.0,self-employed,married,tertiary,no,10000.0,yes,n,cellular,11,234,1.0,166,3.0,failure,no
28,32.0,services,married,secondary,no,-632.0,yes,y,cellular,4,18,5.0,-1,0.0,unknown,no
29,25.0,blue-collar,single,secondary,no,0.0,no,no,cellular,6,252,1.0,92,1.0,success,yes
30,53.0,services,married,secondary,no,1563.0,yes,n,cellular,2,124,2.0,5,1.0,other,no
31,37.0,services,married,secondary,no,184.0,yes,no,cellular,4,53,1.0,348,3.0,failure,no
32,29.0,self-employed,married,tertiary,no,1.0,no,no,cellular,7,167,3.0,-1,0.0,unknown,no
33,50.0,blue-collar,married,primary,no,84.0,yes,n,unknown,5,179,1.0,-1,0.0,unknown,no
34,77.0,administrator,married,primary,no,1492.0,no,n,telephone,9,663,1.0,208,2.0,other,no
35,57.0,technician,married,unknown,no,1617.0,yes,n,unknown,5,96,2.0,-1,0.0,unknown,no
36,30.0,management,single,tertiary,no,0.0,yes,no,cellular,4,293,2.0,314,2.0,failure,no
37,37.0,blue-collar,married,secondary,no,-100.0,yes,no,cellular,5,108,2.0,349,2.0,failure,no
38,46.0,services,married,secondary,no,53.0,no,yes,cellular,7,31,3.0,-1,0.0,unknown,no
39,58.0,administrator,married,secondary,no,145.0,yes,no,telephone,7,616,13.0,-1,0.0,unknown,yes
40,33.0,technician,married,secondary,no,884.0,yes,no,unknown,5,271,1.0,-1,0.0,unknown,no
41,25.0,administrator,single,tertiary,no,1734.0,no,no,cellular,10,366,1.0,-1,0.0,unknown,no
42,41.0,blue-collar,single,secondary,no,1165.0,no,n,unknown,6,69,3.0,-1,0.0,unknown,no
43,44.0,blue-collar,married,primary,no,753.0,yes,no,unknown,5,151,2.0,-1,0.0,unknown,no
44,50.0,administrator,married,secondary,no,736.0,yes,n,unknown,5,74,1.0,-1,0.0,unknown,no
45,32.0,management,married,tertiary,no,958.0,yes,no,telephone,7,151,1.0,-1,0.0,unknown,no
46,29.0,services,single,primary,no,95.0,yes,no,unknown,5,266,2.0,-1,0.0,unknown,no
47,37.0,administrator,married,secondary,no,14.0,yes,n,unknown,5,176,2.0,-1,0.0,unknown,no
48,48.0,services,married,secondary,no,2850.0,yes,no,cellular,8,107,3.0,-1,0.0,unknown,no
49,44.0,services,divorced,secondary,no,608.0,yes,y,unknown,6,19,20.0,-1,0.0,unknown,no
50,50.0,unemployed,divorced,unknown,no,1088.0,no,n,cellular,2,749,1.0,-1,0.0,unknown,yes
51,41.0,management,married,tertiary,no,6060.0,yes,no,unknown,5,71,1.0,-1,0.0,unknown,no
52,35.0,management,married,tertiary,no,2123.0,yes,no,cellular,4,54,1.0,273,3.0,failure,no
53,55.0,retired,married,primary,no,-90.0,yes,yes,unknown,5,634,2.0,-1,0.0,unknown,no
54,61.0,retired,married,secondary,no,399.0,no,n,cellular,8,81,1.0,-1,0.0,unknown,no
55,84.0,retired,divorced,primary,no,1680.0,no,n,telephone,9,113,5.0,97,3.0,other,no
56,54.0,management,married,tertiary,no,6525.0,yes,n,cellular,4,231,1.0,149,4.0,failure,no
57,28.0,blue-collar,married,secondary,no,-95.0,yes,n,unknown,5,200,1.0,-1,0.0,unknown,no
58,50.0,technician,married,secondary,no,3176.0,no,no,cellular,8,670,1.0,-1,0.0,unknown,yes
59,30.0,administrator,married,secondary,no,1589.0,yes,no,cellular,11,51,1.0,-1,0.0,unknown,no
60,60.0,self-employed,married,tertiary,no,10000.0,no,no,cellular,11,98,1.0,91,2.0,failure,yes
61,33.0,management,married,tertiary,no,540.0,no,n,cellular,8,79,4.0,-1,0.0,unknown,no
